"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.02675 30021 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02684 30018 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02694 30015 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02704 30012 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02713 30009 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02723 30006 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02733 30003 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02743 30000 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02752 29997 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02762 29994 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02772 29991 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02782 29988 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02791 29985 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02801 29982 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02811 29979 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02820 29976 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02830 29973 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02840 29970 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02850 29967 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02859 29964 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02869 29961 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02879 29958 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02889 29955 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02898 29952 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02908 29949 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.02918 29946 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
